cod_matricula,importe_matricula,modalidad,fec_matricula_original,meses_duracion_original,fecha_inicio_reconocimiento_original,fecha_fin_reconocimiento_original,fecha_inicio_producto_original,fecha_fin_producto_original,fecha_inicio_reparto_calculada,fecha_fin_reparto_calculada,origen_fechas_calculadas
CLFC94,175,ONLINE,2025-03-01,4.0,,,,,2025-03-01,2025-03-01,ONLINE: fec_matricula
CLFC96,456,PRESENCIAL,2025-03-01,0.0,2025-04-04,2025-04-06,2025-04-04,2025-04-06,2025-04-04,2025-04-06,Reconocimiento
CLFC314,120,ONLINE,2025-03-17,4.0,,,,,2025-03-17,2025-03-17,ONLINE: fec_matricula
CLFC99,135,ONLINE,2025-03-01,4.0,,,,,2025-03-01,2025-03-01,ONLINE: fec_matricula
CLFC142,665,PRESENCIAL,2025-03-05,0.0,2025-04-26,2025-06-15,2025-04-26,2025-06-15,2025-04-26,2025-06-15,Reconocimiento
CLFC203,80,ONLINE,2025-03-11,4.0,,,,,2025-03-11,2025-03-11,ONLINE: fec_matricula
CLFC222,494,PRESENCIAL,2025-03-11,0.0,2025-04-25,2025-04-27,2025-04-25,2025-04-27,2025-04-25,2025-04-27,Reconocimiento
CLFC224,300,PRESENCIAL,2025-03-12,0.0,2025-06-27,2025-06-28,2025-06-27,2025-06-28,2025-06-27,2025-06-28,Reconocimiento
CLFC230,456,PRESENCIAL,2025-03-12,0.0,2025-04-12,2025-06-15,2025-04-12,2025-06-15,2025-04-12,2025-06-15,Reconocimiento
CLFC63,599,ONLINE,2025-02-27,12.0,,,,,2025-02-27,2025-02-27,ONLINE: fec_matricula
CLFC71,599,ONLINE,2025-02-27,12.0,,,,,2025-02-27,2025-02-27,ONLINE: fec_matricula
CLFC72,185,ONLINE,2025-02-27,4.0,,,,,2025-02-27,2025-02-27,ONLINE: fec_matricula
CLFC77,903,ONLINE,2025-02-27,12.0,,,,,2025-02-27,2025-02-27,ONLINE: fec_matricula
CLFC232,140,ONLINE,2025-03-12,4.0,,,,,2025-03-12,2025-03-12,ONLINE: fec_matricula
CLFC272,0,ONLINE,2025-03-14,4.0,,,,,2025-03-14,2025-03-14,ONLINE: fec_matricula
CLFC276,456,PRESENCIAL,2025-03-14,0.0,2025-04-12,2025-06-15,2025-04-12,2025-06-15,2025-04-12,2025-06-15,Reconocimiento
CLFC288,96,ONLINE,2025-03-15,4.0,,,,,2025-03-15,2025-03-15,ONLINE: fec_matricula
CLFC100,320,ONLINE,2025-03-01,4.0,,,,,2025-03-01,2025-03-01,ONLINE: fec_matricula
CLFC101,135,ONLINE,2025-03-02,4.0,,,,,2025-03-02,2025-03-02,ONLINE: fec_matricula
CLFC102,190,ONLINE,2025-03-02,4.0,,,,,2025-03-02,2025-03-02,ONLINE: fec_matricula
CLFC104,320,ONLINE,2025-03-02,4.0,,,,,2025-03-02,2025-03-02,ONLINE: fec_matricula
CLFC107,150,ONLINE,2025-03-02,4.0,,,,,2025-03-02,2025-03-02,ONLINE: fec_matricula
CLFC327,164,ONLINE,2025-03-17,4.0,,,,,2025-03-17,2025-03-17,ONLINE: fec_matricula
CLFC334,480,PRESENCIAL,2025-03-18,0.0,2025-04-04,2025-04-06,2025-04-04,2025-04-06,2025-04-04,2025-04-06,Reconocimiento
CLFC335,220,ONLINE,2025-03-18,4.0,,,,,2025-03-18,2025-03-18,ONLINE: fec_matricula
CLFC337,119,ONLINE,2025-03-18,4.0,,,,,2025-03-18,2025-03-18,ONLINE: fec_matricula
CLFC82,494,PRESENCIAL,2025-02-27,0.0,2025-04-25,2025-04-27,2025-04-25,2025-04-27,2025-04-25,2025-04-27,Reconocimiento
CLFC275,456,PRESENCIAL,2025-03-14,0.0,2025-04-12,2025-06-15,2025-04-12,2025-06-15,2025-04-12,2025-06-15,Reconocimiento
CLFC352,665,PRESENCIAL,2025-03-18,0.0,2025-04-26,2025-06-15,2025-04-26,2025-06-15,2025-04-26,2025-06-15,Reconocimiento
CLFC377,148,ONLINE,2025-03-19,4.0,,,,,2025-03-19,2025-03-19,ONLINE: fec_matricula
CLFC213,140,ONLINE,2025-03-11,4.0,,,,,2025-03-11,2025-03-11,ONLINE: fec_matricula
CLFC366,185,ONLINE,2025-03-19,4.0,,,,,2025-03-19,2025-03-19,ONLINE: fec_matricula
CLFC374,120,ONLINE,2025-03-19,4.0,,,,,2025-03-19,2025-03-19,ONLINE: fec_matricula
CLFC381,119,ONLINE,2025-03-20,4.0,,,,,2025-03-20,2025-03-20,ONLINE: fec_matricula
CLFC151,320,ONLINE,2025-03-06,4.0,,,,,2025-03-06,2025-03-06,ONLINE: fec_matricula
CLFC152,190,ONLINE,2025-03-06,4.0,,,,,2025-03-06,2025-03-06,ONLINE: fec_matricula
CLFC155,456,PRESENCIAL,2025-03-06,0.0,2025-03-15,2025-03-30,2025-03-15,2025-03-30,2025-03-15,2025-03-30,Reconocimiento
CLFC156,175,ONLINE,2025-03-06,4.0,,,,,2025-03-06,2025-03-06,ONLINE: fec_matricula
CLFC157,150,ONLINE,2025-03-06,4.0,,,,,2025-03-06,2025-03-06,ONLINE: fec_matricula
